offer_id,article,name,storefront_url,recommended_Виробник
3006683712,v0138,Беспроводной автономный датчик угарного газа со сменной батареей,https://vixi.prom.ua/p3006683712.html,No Name
3024015651,v0180,Набор для шитья и рукоделия 29 элементов,https://vixi.prom.ua/p3024015651.html,No Name
3040622875,v0229,Выжимка цепи велосипеда универсальная,https://vixi.prom.ua/p3040622875.html,No Name
3040638256,v0231,"Форсунки машины для очистки под высоким давлением, днопоглубления муниципального канализационного трубопровода, 1 шт",https://vixi.prom.ua/p3040638256.html,No Name
3040662351,v0234,"Сварочная трубка, металлические гибкие сгибающие сварочные палочки, сварочная насадка - прочная сварочная горелка, мунштук",https://vixi.prom.ua/p3040662351.html,No Name
3048159655,v0248,Трос сцепления мотоцикла DY100 Китай,https://vixi.prom.ua/p3048159655.html,No Name
3050505825,v0254,Колье цепочка с перлами белая,https://vixi.prom.ua/p3050505825.html,No Name
3050558073,v0255,"Набор украшений чокер - колье и браслет с жемчугом с сердцем, цвет металла золото",https://vixi.prom.ua/p3050558073.html,No Name
3050583646,v0256,Набор сережек с перлами: 12 пар с большими и малыми строчочными жемчугами,https://vixi.prom.ua/p3050583646.html,No Name
3050591680,v0257,Серьги джекеты бижутерия Жемчужные,https://vixi.prom.ua/p3050591680.html,No Name
3050692200,v0259,Звезда значок шерифа вестерн металл 7х7 см для детей 3+,https://vixi.prom.ua/p3050692200.html,No Name
3052916216,v0261,Комплект колпачков на болты крепления диска RCS+ 17 мм 20 шт Черных,https://vixi.prom.ua/p3052916216.html,No Name
3062657544,v0279,"Наклейки на мотоцикл, скутер, квадроцикл, на колеса CUTNINJA",https://vixi.prom.ua/p3062657544.html,No Name
3062668675,v0280,"Наклейки на мотоцикл, скутер, квадроцикл, на колеса CUTNINJA белая",https://vixi.prom.ua/p3062668675.html,No Name
3062717861,v0285,"Пружина тормозной ножки Дельта, Альфа, Актив",https://vixi.prom.ua/p3062717861.html,No Name
3064751541,v0287,Алмазные насадки для заточки цепи пилы 2 штуки,https://vixi.prom.ua/p3064751541.html,No Name
3064762961,v0288,"Наклейка виниловая для машины герб Украины на стекло кузов авто стикеры, 12 х 7 см",https://vixi.prom.ua/p3064762961.html,No Name
3069649860,v0306,Элемент вентиляционной сетки Renault Opel,https://vixi.prom.ua/p3069649860.html,No Name
3069671727,v0309,Знак противопожарный синий 85х110 мм Огнетушитель д-8125,https://vixi.prom.ua/p3069671727.html,No Name
3069806603,v0313,Датчик холу ТА-084-СВ-125/150 (YB) 26961,https://vixi.prom.ua/p3069806603.html,No Name
3071970309,v0316,Ароматическая свеча Pomegranate в стеклянной коробке с деревянной крышкой,https://vixi.prom.ua/p3071970309.html,No Name
3078759815,v0323,Глицериновый крем для рук и ногтей Revers Ultra Soft 200 мл,https://vixi.prom.ua/p3078759815.html,No Name
3078784796,v0328,Секционная менажница (блюдо для сервировки) на 6 предметов салатовая,https://vixi.prom.ua/p3078784796.html,No Name
3081016260,v0329,Секционная менажница (блюдо для сервировки) на 6 предметов голубая,https://vixi.prom.ua/p3081016260.html,No Name
3082644751,v0330,Зеркало настенное овальное в белой текстурированной рамке 58×48 см,https://vixi.prom.ua/p3082644751.html,No Name
3082670478,v0333,LED жилет безопасности светоотражающий для бега и велосипеда,https://vixi.prom.ua/p3082670478.html,No Name
3083011221,v0337,Набор штампов Doodles Craft Set 20 предметов розовый,https://vixi.prom.ua/p3083011221.html,No Name
3083020017,v0339,Секционная менажница (блюдо для сервировки) на 6 предметов серая,https://vixi.prom.ua/p3083020017.html,No Name
3084149937,v0340,"Набор для создания мозаичного шкатулки для украшений ""minnie""",https://vixi.prom.ua/p3084149937.html,No Name
3084169279,v0342,Стильный планшет формата А5 с блокнотом в линейку фиолетовый,https://vixi.prom.ua/p3084169279.html,No Name
3084184348,v0343,Блокнот А5 с разноцветными сердечками 80 листов,https://vixi.prom.ua/p3084184348.html,No Name
3086540346,v0346,"Блокнот планер на спирали 2025-2026 гг, розовый",https://vixi.prom.ua/p3086540346.html,No Name
3089196786,v0347,Водяной пистолет для детей 500 мл с большой дальностью стрельбы,https://vixi.prom.ua/p3089196786.html,No Name
3106198604,v0350,Блокнот DLP Industry A5 в линию на спирали с резинкой,https://vixi.prom.ua/p3106198604.html,No Name
3106199101,v0351,Блокнот А5 DLP Industry розовый леопард спиральный 100 страниц,https://vixi.prom.ua/p3106199101.html,No Name
3106208113,v0353,Грелка INDI Hot Bag 2л - резиновая бутылка для горячей и холодной терапии,https://vixi.prom.ua/p3106208113.html,No Name
3106233139,v0357,Планировщик BTS Agenda 2025-2026 розовый с наклейками,https://vixi.prom.ua/p3106233139.html,No Name
3106245530,v0358,Планировщик BTS Agenda 2025-2026 красный с наклейками,https://vixi.prom.ua/p3106245530.html,No Name
3106248466,v0359,"Планер 2025-2026 с ромашками, стикерами и закладками",https://vixi.prom.ua/p3106248466.html,No Name
3106256548,v0360,Стильный планшет формата А5 с блокнотом в линейку зеленый,https://vixi.prom.ua/p3106256548.html,No Name
3106258458,v0361,Стильный планшет формата А5 с блокнотом в линейку розовый,https://vixi.prom.ua/p3106258458.html,No Name
3106285084,v0363,Обои флизелиновые тропические золотые пальмы на черном 10.05×0.53м,https://vixi.prom.ua/p3106285084.html,No Name
3107044668,v0364,Антипригарный гриль-деко 34x24 см из нержавеющей стали,https://vixi.prom.ua/p3107044668.html,No Name
3109243953,v0365,Ароматизированная свеча Flower Shower в подарочной коробке,https://vixi.prom.ua/p3109243953.html,No Name
3125560385,v0371,"Колготки Kate Legwear Tights Satin Shine 15 DEN, 2 пары, черные, размер S (36-38) Kate Legwear",https://vixi.prom.ua/p3125560385.html,No Name
3125562948,v0372,"Полимерная глина DecoTime 6x20 г, монохромный набор сине-фиолетовых оттенков + 1 блок с глиттером DecoTime",https://vixi.prom.ua/p3125562948.html,No Name
3125598144,v0373,"Свечи столовые AVEC Cherry, набор 2 шт, 25 x Ø 2,2 см AVEC",https://vixi.prom.ua/p3125598144.html,No Name
3127875130,v0374,Набор грима вампира с клыками Fun World,https://vixi.prom.ua/p3127875130.html,No Name
3128082098,v0375,Ароматическая свеча в матовом стекле с крышкой Dream + Inspire Chesapeake Bay Candle,https://vixi.prom.ua/p3128082098.html,No Name
3128638633,v0377,"Свечи столовые Daisy, набор 2 шт. Avec",https://vixi.prom.ua/p3128638633.html,No Name
3128668964,v0378,Набор столовых свечей 3 шт,https://vixi.prom.ua/p3128668964.html,No Name
3128672292,v0379,Винтажная керамическая тарелка-блеска в виде кексика,https://vixi.prom.ua/p3128672292.html,No Name
3128726292,v0380,"Ароматическая свеча TreeWick Musk, Santal & Magnolia Birch TreeWick",https://vixi.prom.ua/p3128726292.html,No Name
3129092796,v0381,"Кабель питания с вилкой PRO-MAX 2,5 м H05VV-F 3x1,5 мм2 белый PRO-MAX",https://vixi.prom.ua/p3129092796.html,No Name
3129720666,v0382,Керамическая десертная тарелка в форме кекса (капейка) с ручной росписью.,https://vixi.prom.ua/p3129720666.html,No Name
